ds,y,yhat,yhat_lower,yhat_upper,error,uncertainty,anomaly
2015-11-19,4204.0,3949.3885023085454,3392.642875090569,4584.077841836382,254.6114976914546,1191.4349667458127,No
2015-11-20,3996.0,3390.3196568490425,2736.425219657689,4006.251481275025,605.6803431509575,1269.826261617336,No
2015-11-21,1267.0,1739.881102634293,1168.3079853286138,2357.5925949683847,-472.88110263429303,1189.284609639771,No
2015-11-22,1443.0,1753.3141374439024,1094.5641219218326,2341.6242713059664,-310.3141374439024,1247.0601493841339,No
2015-11-23,3919.0,3461.2622279345737,2840.660868789698,4086.207837812237,457.73777206542627,1245.546969022539,No
2015-11-24,3120.0,3763.4489114125327,3158.719036451463,4369.921785846808,-643.4489114125327,1211.202749395345,No
2015-11-25,4170.0,3703.987053634529,3109.643843378995,4282.377424250494,466.0129463654712,1172.7335808714993,No
2015-11-26,4203.0,3684.243621346865,3096.444129554481,4309.482770244639,518.756378653135,1213.038640690158,No
2015-11-27,3425.0,3471.426643386905,2844.358221118636,4104.691958815933,-46.4266433869052,1260.3337376972968,No
2015-11-28,1534.0,1919.8384489603584,1304.368477668833,2494.889922676601,-385.8384489603584,1190.521445007768,No
2015-11-29,1091.0,2201.0195206069075,1620.8193428095717,2754.659083865241,-1110.0195206069075,1133.8397410556693,No
2015-11-30,3650.0,3896.745441442187,3299.590030231488,4469.008271547989,-246.7454414421868,1169.4182413165013,No
2015-12-01,4185.0,4378.632852564444,3767.786442303126,4986.407256538937,-193.63285256444397,1218.620814235811,No
2015-12-02,4323.0,4116.173445222547,3534.3408823379827,4707.7129646050425,206.82655477745266,1173.3720822670598,No
2015-12-03,4369.0,3991.84282815738,3372.6940039163774,4550.974047828608,377.15717184261985,1178.2800439122302,No
2015-12-04,3739.0,3480.2205433313625,2874.576934504469,4047.062103754096,258.7794566686375,1172.4851692496268,No
2015-12-05,1480.0,1976.7704080185897,1368.5843708883317,2601.9008575444245,-496.7704080185897,1233.3164866560928,No
2015-12-06,1491.0,2085.509831456204,1500.0125935394983,2687.317632454866,-594.5098314562042,1187.3050389153675,No
2015-12-07,3999.0,3613.005276322509,2997.838945557017,4234.974638968964,385.99472367749104,1237.1356934119476,No
